date,stock_id,stock_name,broker,branch,buy_volume,sell_volume,net_buy,buy_avg_price
2026-04-17,2330,台積電,元大證券,元大台北,80,60,20,840.0
2026-04-21,2330,台積電,元大證券,元大台北,120,30,90,845.0
2026-04-22,2330,台積電,元大證券,元大台北,140,30,110,847.0
2026-04-23,2330,台積電,元大證券,元大台北,160,30,130,849.0
2026-04-24,2330,台積電,元大證券,元大台北,180,30,150,851.0
2026-04-25,2330,台積電,元大證券,元大台北,200,40,160,853.0
2026-04-24,2330,台積電,國泰證券,國泰台北,50,30,20,851.0
2026-04-25,2330,台積電,國泰證券,國泰台北,60,30,30,854.0
2026-04-21,2317,鴻海,凱基證券,凱基信義,50,100,-50,166.0
2026-04-22,2317,鴻海,凱基證券,凱基信義,180,40,140,167.0
2026-04-23,2317,鴻海,凱基證券,凱基信義,200,40,160,168.0
2026-04-24,2317,鴻海,凱基證券,凱基信義,220,40,180,169.0
2026-04-25,2317,鴻海,凱基證券,凱基信義,250,50,200,170.0
2026-04-21,2454,聯發科,富邦證券,富邦南京,20,50,-30,1085.0
2026-04-22,2454,聯發科,富邦證券,富邦南京,70,40,30,1090.0
2026-04-23,2454,聯發科,富邦證券,富邦南京,80,20,60,1098.0
2026-04-24,2454,聯發科,富邦證券,富邦南京,90,20,70,1105.0
2026-04-25,2454,聯發科,富邦證券,富邦南京,100,25,75,1110.0
2026-04-21,3711,日月光投控,國泰證券,國泰敦南,150,40,110,93.0
2026-04-22,3711,日月光投控,國泰證券,國泰敦南,170,40,130,95.0
2026-04-23,3711,日月光投控,國泰證券,國泰敦南,200,50,150,96.0
2026-04-24,3711,日月光投控,國泰證券,國泰敦南,30,60,-30,97.0
2026-04-25,3711,日月光投控,國泰證券,國泰敦南,40,70,-30,98.0
